Month,Weightloss,FORECAST,STD,L,U,RESIDUAL
01JAN18,90,89.398500026,3.0078909592,83.503142077,95.293857976,0.6014999735
01FEB18,80,83.622205013,3.6101038056,76.546531573,90.697878452,-3.622205013
01MAR18,81,82.447992938,4.1253231331,74.362508172,90.533477703,-1.447992938
01APR18,82,82.879699663,4.582982917,73.897218204,91.862181122,-0.879699663
01MAY18,80,81.185353534,4.998917271,71.387655721,90.983051347,-1.185353534
01JUN18,77,78.415309456,5.3828073854,67.865200844,88.965418067,-1.415309456
01JUL18,80,80.572456961,5.7410849857,69.320137157,91.824776766,-0.572456961
01AUG18,76,76.304267818,6.0782808653,64.391056234,88.217479402,-0.304267818
01SEP18,70,70.022420276,6.3977292646,57.483101335,82.561739218,-0.022420276
01OCT18,67,68.178616345,6.7019684577,55.042999542,81.314233148,-1.178616345
01NOV18,63,66.749557117,6.9929838176,53.04356069,80.455553544,-3.749557117
01DEC18,62,59.335448002,7.2723630368,45.081878368,73.589017637,2.6645519979
