Month,Weight_loss,FORECAST,STD,L95,U95,RESIDUAL
01JAN04,53,,,,,
01FEB04,51,,,,,
01MAR04,57,,,,,
01APR04,57,,,,,
01MAY04,57,,,,,
01JUN04,58,,,,,
01JUL04,59,,,,,
01AUG04,55,,,,,
01SEP04,48,,,,,
01OCT04,45,,,,,
01NOV04,44,,,,,
01DEC04,42,,,,,
01JAN05,56,,,,,
01FEB05,52,54,3.7824165199,46.586599847,61.413400153,-2
01MAR05,57,58.604250198,3.6056577116,51.537290943,65.671209454,-1.604250198
01APR05,58,57.533370041,3.5874212401,50.502153613,64.564586469,0.4666299588
01MAY05,58,57.843276769,3.5853791064,50.816062849,64.870490688,0.1567232312
01JUN05,58,58.89540377,3.5851213824,51.868694981,65.92211256,-0.89540377
01JUL05,58,59.438458309,3.5774502111,52.426784739,66.450131879,-1.438458309
01AUG05,53,54.552875871,3.576586273,47.542895589,61.562856154,-1.552875871
01SEP05,46,46.452794562,3.5764886135,39.443005689,53.462583436,-0.452794562
01OCT05,45,43.152270767,3.5764775695,36.14250354,50.162037995,1.8477292325
01NOV05,44,43.444225913,3.576476449,36.434460882,50.453990945,0.5557740865
01DEC05,41,41.892510249,3.5764390558,34.882818507,48.902201991,-0.892510249
01JAN06,56,55.021243599,3.5360199583,48.090771832,61.951715366,0.9787564008
01FEB06,52,52.661060768,3.2263378145,46.33755485,58.984566687,-0.661060768
01MAR06,55,57.556967829,3.1970611478,51.290843123,63.823092535,-2.556967829
01APR06,58,56.41446601,3.1936501244,50.155026787,62.673905234,1.5855339895
01MAY06,56,57.486283678,3.1932439556,51.227640531,63.744926825,-1.486283678
01JUN06,56,56.978757055,3.1900801069,50.726314938,63.231199173,-0.978757055
01JUL06,58,56.570709406,3.1735756011,50.350615525,62.790803286,1.4292905942
01AUG06,53,52.832844993,3.1710463785,46.617708298,59.047981688,0.1671550068
01SEP06,48,46.060346726,3.1710230506,39.845255753,52.2754377,1.9396532737
01OCT06,45,45.593667811,3.1710204853,39.378581865,51.808753756,-0.593667811
01NOV06,44,43.998517886,3.1709827616,37.783505878,50.213529895,0.0014821137
01DEC06,39,41.337951524,3.1707760744,35.123344615,47.552558433,-2.337951524
01JAN07,56,54.0001827,3.1587236329,47.809198143,60.191167258,1.9998172997
01FEB07,51,51.832095362,3.0814039795,45.79265454,57.871536184,-0.832095362
01MAR07,53,55.908267318,3.0730858101,49.885129809,61.931404827,-2.908267318
01APR07,57,55.591938839,3.0721185245,49.570697174,61.613180503,1.4080611614
01MAY07,57,55.53878359,3.0720231332,49.517728889,61.55983829,1.4612164104
01JUN07,57,56.867854307,3.071127846,50.848554337,62.887154277,0.1321456928
01JUL07,57,58.025204556,3.0663403756,52.015287856,64.035121257,-1.025204556
01AUG07,55,52.208606224,3.0655132263,46.200310706,58.216901742,2.791393776
01SEP07,50,48.319390404,3.0654678313,42.311183859,54.327596949,1.6806095959
01OCT07,48,46.834981747,3.0654622127,40.826786214,52.843177279,1.1650182535
01NOV07,45,46.469145192,3.0654249788,40.461022636,52.477267748,-1.469145192
01DEC07,42,42.160048998,3.0650882677,36.152586384,48.167511612,-0.160048998
01JAN08,60,57.471817444,3.0620474987,51.470314627,63.47332026,2.5281825561
01FEB08,55,55.335909598,3.0350223728,49.387375055,61.284444141,-0.335909598
01MAR08,67,58.346530579,3.0320216077,52.403877427,64.28918373,8.6534694212
01APR08,63,66.703274332,3.031713281,60.761225489,72.645323174,-3.703274332
01MAY08,62,63.371495176,3.0316377061,57.429594458,69.313395894,-1.371495176
01JUN08,64,63.00459333,3.0312930731,57.06336808,68.94581858,0.9954066701
