Month,Weight loss
2004-01,53
2004-02,51
2004-03,57
2004-04,57
2004-05,57
2004-06,58
2004-07,59
2004-08,55
2004-09,48
2004-10,45
2004-11,44
2004-12,42
2005-01,56
2005-02,52
2005-03,57
2005-04,58
2005-05,58
2005-06,58
2005-07,58
2005-08,53
2005-09,46
2005-10,45
2005-11,44
2005-12,41
2006-01,56
2006-02,52
2006-03,55
2006-04,58
2006-05,56
2006-06,56
2006-07,58
2006-08,53
2006-09,48
2006-10,45
2006-11,44
2006-12,39
2007-01,56
2007-02,51
2007-03,53
2007-04,57
2007-05,57
2007-06,57
2007-07,57
2007-08,55
2007-09,50
2007-10,48
2007-11,45
2007-12,42
2008-01,60
2008-02,55
2008-03,67
2008-04,63
2008-05,62
2008-06,64
2008-07,68
2008-08,64
2008-09,64
2008-10,64
2008-11,63
2008-12,68
2009-01,82
2009-02,70
2009-03,71
2009-04,77
2009-05,82
2009-06,79
2009-07,79
2009-08,83
2009-09,75
2009-10,77
2009-11,75
2009-12,68
2010-01,94
2010-02,87
2010-03,94
2010-04,95
2010-05,97
2010-06,92
2010-07,87
2010-08,87
2010-09,81
2010-10,77
2010-11,73
2010-12,63
2011-01,90
2011-02,82
2011-03,83
2011-04,85
2011-05,86
2011-06,86
2011-07,86
2011-08,89
2011-09,85
2011-10,79
2011-11,76
2011-12,71
2012-01,98
2012-02,93
2012-03,92
2012-04,93
2012-05,91
2012-06,89
2012-07,91
2012-08,87
2012-09,80
2012-10,75
2012-11,72
2012-12,65
2013-01,93
2013-02,88
2013-03,87
2013-04,95
2013-05,89
2013-06,87
2013-07,91
2013-08,87
2013-09,81
2013-10,81
2013-11,80
2013-12,69
2014-01,100
2014-02,91
2014-03,96
2014-04,95
2014-05,92
2014-06,89
2014-07,92
2014-08,87
2014-09,82
2014-10,81
2014-11,79
2014-12,71
2015-01,100
2015-02,91
2015-03,95
2015-04,95
2015-05,92
2015-06,90
2015-07,91
2015-08,89
2015-09,83
2015-10,82
2015-11,80
2015-12,74
2016-01,99
2016-02,93
2016-03,90
2016-04,94
2016-05,91
2016-06,86
2016-07,87
2016-08,85
2016-09,80
2016-10,73
2016-11,74
2016-12,67
2017-01,94
2017-02,90
2017-03,88
2017-04,84
2017-05,84
2017-06,82
2017-07,84
2017-08,78
2017-09,73
2017-10,73
2017-11,70
2017-12,62
2018-01,90
2018-02,80
2018-03,81
2018-04,82
2018-05,80
2018-06,77
2018-07,80
2018-08,76
2018-09,70
2018-10,67
2018-11,63
2018-12,62
